Artikel	Lager	Bolag	Namn	Värde
1000105	404	GG	CategoryDesc	T1
1000105	404	GG	DG	false
1000105	404	GG	IMG	https://v.imgi.no/b3cfeaf1-59fc-4e12-8ac5-c0c61647ea06.png
1000105	404	GG	IntroDate	2019-01-30
1000105	404	GG	KIT	N
1000105	404	GG	LC	Expiring
1000105	404	GG	measured	Y
1000105	404	GG	ST	true
1000105	404	GG	StoreQuantity	0.0
1000105	404	GG	SupplierItemId	0
1000226	404	GG	CategoryDesc	G1
1000226	404	GG	DG	false
1000226	404	GG	IMG	https://v.imgi.no/e71f5ff6-c789-46d0-aa56-e95189aa8cfd.jpg
1000226	404	GG	IntroDate	1999-11-03
1000226	404	GG	KIT	N
1000226	404	GG	LC	Expiring
1000226	404	GG	measured	Y
1000226	404	GG	SalesPrice	109.00
1000226	404	GG	SPG	DC
1000226	404	GG	ST	false
1000226	404	GG	StoreQuantity	1.0
1000226	404	GG	SupplierItemId	1703001
1000231	404	GG	CategoryDesc	T2
1000231	404	GG	DG	false
1000231	404	GG	IMG	https://v.imgi.no/4b07e3ce-9ff6-4251-90bf-ad302f56b46e.jpg
1000231	404	GG	IntroDate	1999-11-03
1000231	404	GG	KIT	N
1000231	404	GG	LC	Expiring
1000231	404	GG	LF	2026-02-16
1000231	404	GG	LT	2026-08-24
1000231	404	GG	measured	Y
1000231	404	GG	SalesPrice	249.00
1000231	404	GG	SPG	DC
1000231	404	GG	ST	false
1000231	404	GG	StoreQuantity	45.0
1000231	404	GG	SupplierItemId	TAB010
1000232	404	GG	CategoryDesc	G3
1000232	404	GG	Controlled	Y
1000232	404	GG	DG	true
1000232	404	GG	IMG	https://v.imgi.no/eeb9b98b-112c-41d9-a63a-b3c9b89c0612.jpg
1000232	404	GG	IntroDate	1999-11-03
1000232	404	GG	KIT	N
1000232	404	GG	LC	Expiring
1000232	404	GG	LF	2026-02-02
1000232	404	GG	LT	2026-09-28
1000232	404	GG	measured	Y
1000232	404	GG	SalesPrice	169.00
1000232	404	GG	SDB	https://ggrssa.blob.core.windows.net/gg-rdp-media-assets/e197aa39-2d06-43be-b0f3-d8cced40ff66.pdf?sv=2023-11-03&se=2024-08-21T16%3A31%3A00Z&sr=c&sp=rl&sig=oL1i74lfr0u9l8vrc72FrpfrGjOForfeVPL0wDE7Eas%3D
1000232	404	GG	SPG	DC
1000232	404	GG	ST	false
1000232	404	GG	StoreQuantity	12.0
1000232	404	GG	SupplierItemId	TAB036
1000233	404	GG	CategoryDesc	G3
1000233	404	GG	Controlled	Y
1000233	404	GG	DG	true
1000233	404	GG	IMG	https://v.imgi.no/c897ab1a-f946-435a-a533-ad78c6e63416.jpg
1000233	404	GG	IntroDate	1999-11-03
1000233	404	GG	KIT	N
1000233	404	GG	LC	Expiring
1000233	404	GG	LF	2026-02-02
1000233	404	GG	LT	2026-09-28
1000233	404	GG	measured	Y
1000233	404	GG	SalesPrice	609.00
1000233	404	GG	SDB	https://ggrssa.blob.core.windows.net/gg-rdp-media-assets/1bab6061-8047-475e-ae30-f5a7a0c5aac2.pdf?sv=2023-11-03&se=2024-08-21T16%3A31%3A00Z&sr=c&sp=rl&sig=oL1i74lfr0u9l8vrc72FrpfrGjOForfeVPL0wDE7Eas%3D
1000233	404	GG	SPG	DC
1000233	404	GG	ST	false
1000233	404	GG	StoreQuantity	3.0
1000233	404	GG	SupplierItemId	TAB037
1000279	404	GG	CategoryDesc	G1
1000279	404	GG	Controlled	Y
1000279	404	GG	DG	false
1000279	404	GG	IMG	https://v.imgi.no/45a76f94-ac8d-4e9e-b08d-dc8df5c33987.jpg
1000279	404	GG	IntroDate	1999-11-03
1000279	404	GG	KIT	N
1000279	404	GG	LC	Active
1000279	404	GG	measured	Y
1000279	404	GG	SalesPrice	149.00
1000279	404	GG	SPG	DC
1000279	404	GG	ST	false
1000279	404	GG	StoreQuantity	10.0
1000279	404	GG	SupplierItemId	1710
1000448	404	GG	CategoryDesc	G1
1000448	404	GG	DG	false
1000448	404	GG	IMG	https://v.imgi.no/eba6ce4e-e0b6-45f3-8b9c-4dd5fbf53a69.jpg
1000448	404	GG	IntroDate	1999-11-10
1000448	404	GG	KIT	N
1000448	404	GG	LC	Active
1000448	404	GG	LF	2026-03-16
1000448	404	GG	LT	2026-09-28
