Huvudkategori	Kategori	Bolag	Timestamp
Foderlada	1300	GG	"2024-10-23 14:21:46"
Foderlada	1305	GG	"2024-10-23 14:21:46"
Foderlada	1320	GG	"2024-10-23 14:21:46"
Foderlada	1400	GG	"2024-10-23 14:21:46"
Foderlada	1405	GG	"2024-10-23 14:21:46"
Foderlada	1500	GG	"2024-10-23 14:21:46"
Foderlada	1600	GG	"2024-10-23 14:21:46"
Foderlada	1610	GG	"2024-10-23 14:21:46"
Foderlada	1700	GG	"2024-10-23 14:21:46"
Foderlada	1715	GG	"2024-10-23 14:21:46"
Foderlada	1735	GG	"2024-10-23 14:21:46"
Foderlada	4335	GG	"2024-10-23 14:21:46"
Foderlada	4405	GG	"2024-10-23 14:21:46"
Foderlada	4406	GG	"2024-10-23 14:21:46"
Gården	1605	GG	"2024-10-23 14:21:46"
Gården	1800	GG	"2024-10-23 14:21:46"
Gården	1805	GG	"2024-10-23 14:21:46"
Gården	3815	GG	"2024-10-23 14:21:46"
Gården	4000	GG	"2024-10-23 14:21:46"
Gården	4010	GG	"2024-10-23 14:21:46"
Gården	4099	GG	"2024-10-23 14:21:46"
Gården	4101	GG	"2024-10-23 14:21:46"
Gården	4105	GG	"2024-10-23 14:21:46"
Gården	4110	GG	"2024-10-23 14:21:46"
Gården	4120	GG	"2024-10-23 14:21:46"
Gården	4130	GG	"2024-10-23 14:21:46"
Gården	4135	GG	"2024-10-23 14:21:46"
Gården	4140	GG	"2024-10-23 14:21:46"
Gården	4145	GG	"2024-10-23 14:21:46"
Gården	4150	GG	"2024-10-23 14:21:46"
Gården	4155	GG	"2024-10-23 14:21:46"
Gården	4165	GG	"2024-10-23 14:21:46"
Gården	4199	GG	"2024-10-23 14:21:46"
Gården	4210	GG	"2024-10-23 14:21:46"
Gården	4299	GG	"2024-10-23 14:21:46"
Gården	4300	GG	"2024-10-23 14:21:46"
Gården	4305	GG	"2024-10-23 14:21:46"
Gården	4310	GG	"2024-10-23 14:21:46"
